batch,sub_topic_key,difficulty,stem_en,stem_si,stem_ta,explanation_en,explanation_si,explanation_ta,option_a_en,option_a_si,option_a_ta,option_b_en,option_b_si,option_b_ta,option_c_en,option_c_si,option_c_ta,option_d_en,option_d_si,option_d_ta,correct_option,shuffle_options
placeholder-v1,gk-science,medium,Which blood group is the universal donor?,,,O negative red cells can be given to any blood group.,,,AB positive,,,O negative,,,A positive,,,B negative,,,B,true
placeholder-v1,gk-sports,easy,In which year did Sri Lanka win the Cricket World Cup?,,,"Sri Lanka won the 1996 World Cup, beating Australia in the final.",,,1992,,,1996,,,1999,,,2003,,,B,true
placeholder-v1,gk-sports,easy,How many players are on the field per cricket team?,,,Each side fields eleven players.,,,Nine,,,Ten,,,Eleven,,,Twelve,,,C,true
placeholder-v1,gk-sports,medium,Which sport is Susanthika Jayasinghe associated with?,,,She won an Olympic medal in the 200 metres.,,,Swimming,,,Athletics,,,Boxing,,,Badminton,,,B,true
placeholder-v1,gk-sports,medium,Volleyball is the national sport of which country?,,,Volleyball has been Sri Lanka's national sport since 1991.,,,India,,,Nepal,,,Sri Lanka,,,Maldives,,,C,true
placeholder-v1,gk-sports,easy,How often are the Summer Olympic Games held?,,,The Summer Olympics are held every four years.,,,Every two years,,,Every three years,,,Every four years,,,Every five years,,,C,true
placeholder-v1,gk-literature,hard,Who wrote the epic poem 'Selalihini Sandeshaya'?,,,It was composed by Totagamuwe Sri Rahula Thera in the Kotte period.,,,Totagamuwe Sri Rahula,,,Martin Wickramasinghe,,,Kumaratunga Munidasa,,,Gunadasa Amarasekara,,,A,true
placeholder-v1,gk-literature,medium,'Madol Doova' was written by which author?,,,Martin Wickramasinghe published Madol Doova in 1947.,,,Martin Wickramasinghe,,,W. A. Silva,,,Ediriweera Sarachchandra,,,Simon Navagattegama,,,A,true
placeholder-v1,gk-literature,medium,Which award is the highest literary honour in Sri Lanka?,,,The State Literary Award is the national honour.,,,Gratiaen Prize,,,State Literary Award,,,Swarna Pustaka,,,Booker Prize,,,B,true
placeholder-v1,gk-literature,medium,Who wrote the play 'Maname'?,,,Sarachchandra's Maname premiered in 1956.,,,Ediriweera Sarachchandra,,,Martin Wickramasinghe,,,Henry Jayasena,,,Dayananda Gunawardena,,,A,true
placeholder-v1,gk-literature,hard,The Gratiaen Prize is awarded for writing in which language?,,,It recognises Sri Lankan creative writing in English.,,,Sinhala,,,Tamil,,,English,,,Pali,,,C,true
placeholder-v1,gk-world,easy,Where are the headquarters of the United Nations?,,,The UN headquarters is in New York City.,,,Geneva,,,New York,,,Paris,,,Vienna,,,B,true
placeholder-v1,gk-world,medium,How many permanent members does the UN Security Council have?,,,There are five permanent members with veto power.,,,Four,,,Five,,,Six,,,Ten,,,B,true
placeholder-v1,gk-world,medium,SAARC was founded in which year?,,,SAARC was established in Dhaka in 1985.,,,1985,,,1990,,,1995,,,2000,,,A,true
placeholder-v1,gk-world,hard,Which organisation issues the Human Development Index?,,,The UNDP publishes the HDI each year.,,,WHO,,,UNDP,,,IMF,,,UNESCO,,,B,true
placeholder-v1,gk-world,medium,Which country hosts the International Court of Justice?,,,The ICJ sits at The Hague in the Netherlands.,,,Belgium,,,Switzerland,,,Netherlands,,,Austria,,,C,true
placeholder-v1,ca-daily,easy,Which institution sets Sri Lanka's policy interest rates?,,,Monetary policy is set by the Central Bank of Sri Lanka.,,,The Treasury,,,The Central Bank of Sri Lanka,,,The Department of Census and Statistics,,,Parliament,,,B,true
placeholder-v1,ca-daily,easy,Which index is Sri Lanka's headline measure of consumer inflation?,,,The Colombo Consumer Price Index (CCPI) is the headline measure.,,,CCPI,,,NCPI,,,GDP deflator,,,PMI,,,A,true
placeholder-v1,ca-daily,medium,Which body publishes Sri Lanka's official statistics?,,,The Department of Census and Statistics publishes them.,,,The Central Bank,,,The Department of Census and Statistics,,,The Auditor General,,,The Ministry of Finance,,,B,true
placeholder-v1,ca-daily,medium,What is the currency of Sri Lanka?,,,"The Sri Lankan rupee, abbreviated LKR.",,,Rupee,,,Taka,,,Rupiah,,,Dinar,,,A,true
placeholder-v1,ca-daily,hard,In which city is Sri Lanka's parliament located?,,,Parliament sits at Sri Jayawardenepura Kotte.,,,Colombo,,,Kandy,,,Sri Jayawardenepura Kotte,,,Galle,,,C,true
placeholder-v1,ca-weekly,easy,How many provinces does Sri Lanka have?,,,There are nine provinces.,,,7,,,8,,,9,,,10,,,C,true
placeholder-v1,ca-weekly,easy,Which amendment created Sri Lanka's provincial councils?,,,The Thirteenth Amendment created them in 1987.,,,The Twelfth,,,The Thirteenth,,,The Seventeenth,,,The Nineteenth,,,B,true
placeholder-v1,ca-weekly,medium,What is the term of Sri Lanka's Parliament under the constitution?,,,Parliament sits for five years unless dissolved earlier.,,,Four years,,,Five years,,,Six years,,,Seven years,,,B,true
placeholder-v1,ca-weekly,medium,"Which organisation is Sri Lanka a founding member of, formed in 1985 among South Asian states?",,,Sri Lanka is a founding member of SAARC.,,,ASEAN,,,SAARC,,,BRICS,,,OPEC,,,B,true
placeholder-v1,ca-weekly,hard,Which port city is Sri Lanka's largest by container volume?,,,The Port of Colombo handles the most containers.,,,Galle,,,Trincomalee,,,Colombo,,,Hambantota,,,C,true
placeholder-v1,ca-monthly,easy,Which sector contributes the largest share of Sri Lanka's export earnings?,,,Textiles and garments lead merchandise export earnings.,,,Tea,,,Textiles and garments,,,Rubber,,,Spices,,,B,true
placeholder-v1,ca-monthly,easy,What is Sri Lanka's financial year for the national budget?,,,The budget year runs from 1 January to 31 December.,,,April to March,,,January to December,,,July to June,,,October to September,,,B,true
placeholder-v1,ca-monthly,medium,Which international body approved an Extended Fund Facility for Sri Lanka in 2023?,,,The International Monetary Fund approved the facility.,,,The World Bank,,,The IMF,,,The ADB,,,The WTO,,,B,true
placeholder-v1,ca-monthly,medium,Which crop is Sri Lanka's best known agricultural export?,,,Ceylon tea is the best known agricultural export.,,,Tea,,,Coffee,,,Cocoa,,,Wheat,,,A,true
placeholder-v1,ca-monthly,hard,Which month does Sri Lanka traditionally celebrate the Sinhala and Tamil New Year in?,,,It falls in April each year.,,,January,,,April,,,August,,,December,,,B,true
placeholder-v1,iq-age,easy,A father is 4 times as old as his son. In 6 years he will be 2.5 times as old. How old is the father now?,,,"Let the son be s. 4s + 6 = 2.5(s + 6), so s = 6 and the father is 24.",,,24,,,28,,,20,,,32,,,A,true
placeholder-v1,iq-age,easy,A father is 3 times as old as his son. In 10 years he will be 2 times as old. How old is the father now?,,,"Let the son be s. 3s + 10 = 2(s + 10), so s = 10 and the father is 30.",,,34,,,26,,,30,,,38,,,C,true
placeholder-v1,iq-age,medium,A father is 5 times as old as his son. In 8 years he will be 3 times as old. How old is the father now?,,,"Let the son be s. 5s + 8 = 3(s + 8), so s = 8 and the father is 40.",,,40,,,44,,,36,,,48,,,A,true
placeholder-v1,iq-age,medium,A father is 7 times as old as his son. In 6 years he will be 4 times as old. How old is the father now?,,,"Let the son be s. 7s + 6 = 4(s + 6), so s = 6 and the father is 42.",,,46,,,38,,,42,,,50,,,C,true
placeholder-v1,iq-age,hard,A father is 4 times as old as his son. In 12 years he will be 2 times as old. How old is the father now?,,,"Let the son be s. 4s + 12 = 2(s + 12), so s = 6 and the father is 24.",,,24,,,28,,,20,,,32,,,A,true
placeholder-v1,iq-ratio,easy,"Rs. 1200 is divided between two people in the ratio 2:1. What is the larger share, in rupees?",,,"The parts are 2 + 1 = 3, so one part is Rs. 400 and the larger share is Rs. 800.",,,800,,,900,,,700,,,1000,,,A,true
placeholder-v1,iq-ratio,easy,"Rs. 900 is divided between two people in the ratio 4:5. What is the larger share, in rupees?",,,"The parts are 4 + 5 = 9, so one part is Rs. 100 and the larger share is Rs. 500.",,,500,,,600,,,400,,,700,,,A,true
placeholder-v1,iq-ratio,medium,"Rs. 1500 is divided between two people in the ratio 3:2. What is the larger share, in rupees?",,,"The parts are 3 + 2 = 5, so one part is Rs. 300 and the larger share is Rs. 900.",,,900,,,1000,,,800,,,1100,,,A,true
placeholder-v1,iq-ratio,medium,"Rs. 2100 is divided between two people in the ratio 5:2. What is the larger share, in rupees?",,,"The parts are 5 + 2 = 7, so one part is Rs. 300 and the larger share is Rs. 1500.",,,1500,,,1600,,,1400,,,1700,,,A,true
placeholder-v1,iq-ratio,hard,"Rs. 800 is divided between two people in the ratio 3:1. What is the larger share, in rupees?",,,"The parts are 3 + 1 = 4, so one part is Rs. 200 and the larger share is Rs. 600.",,,600,,,700,,,500,,,800,,,A,true
placeholder-v1,iq-speed,easy,A bus covers 180 km in 3 hours. What is its average speed in km/h?,,,Speed is distance divided by time: 180 / 3 = 60 km/h.,,,60,,,70,,,50,,,80,,,A,true
placeholder-v1,iq-speed,easy,A bus covers 240 km in 4 hours. What is its average speed in km/h?,,,Speed is distance divided by time: 240 / 4 = 60 km/h.,,,60,,,70,,,50,,,80,,,A,true
placeholder-v1,iq-speed,medium,A bus covers 150 km in 2 hours. What is its average speed in km/h?,,,Speed is distance divided by time: 150 / 2 = 75 km/h.,,,85,,,65,,,95,,,75,,,D,true
placeholder-v1,iq-speed,medium,A bus covers 420 km in 6 hours. What is its average speed in km/h?,,,Speed is distance divided by time: 420 / 6 = 70 km/h.,,,80,,,60,,,70,,,90,,,C,true
placeholder-v1,iq-speed,hard,A bus covers 350 km in 5 hours. What is its average speed in km/h?,,,Speed is distance divided by time: 350 / 5 = 70 km/h.,,,80,,,60,,,70,,,90,,,C,true
placeholder-v1,iq-direction,easy,"A man walks 5 km north, turns right and walks 3 km, then turns right and walks 5 km. How many kilometres is he from his starting point?",,,The two 5 km legs run north then south and cancel. Only the 3 km eastward leg is left.,,,5,,,1,,,7,,,3,,,D,true
placeholder-v1,iq-direction,easy,"A man walks 8 km north, turns right and walks 4 km, then turns right and walks 8 km. How many kilometres is he from his starting point?",,,The two 8 km legs run north then south and cancel. Only the 4 km eastward leg is left.,,,4,,,6,,,2,,,8,,,A,true
placeholder-v1,iq-direction,medium,"A man walks 12 km north, turns right and walks 7 km, then turns right and walks 12 km. How many kilometres is he from his starting point?",,,The two 12 km legs run north then south and cancel. Only the 7 km eastward leg is left.,,,9,,,5,,,11,,,7,,,D,true
placeholder-v1,iq-direction,medium,"A man walks 6 km north, turns right and walks 2 km, then turns right and walks 6 km. How many kilometres is he from his starting point?",,,The two 6 km legs run north then south and cancel. Only the 2 km eastward leg is left.,,,4,,,6,,,2,,,8,,,C,true
placeholder-v1,iq-direction,hard,"A man walks 9 km north, turns right and walks 5 km, then turns right and walks 9 km. How many kilometres is he from his starting point?",,,The two 9 km legs run north then south and cancel. Only the 5 km eastward leg is left.,,,7,,,5,,,3,,,9,,,B,true
placeholder-v1,iq-coding,easy,In a certain code each letter is moved 1 place forward in the alphabet. How is CAT written in that code?,,,Moving every letter of CAT forward by 1 gives DBU.,,,ECV,,,CAT,,,FDW,,,DBU,,,D,true
placeholder-v1,iq-coding,easy,In a certain code each letter is moved 2 places forward in the alphabet. How is DOG written in that code?,,,Moving every letter of DOG forward by 2 gives FQI.,,,GRJ,,,EPH,,,HSK,,,FQI,,,D,true
placeholder-v1,iq-coding,medium,In a certain code each letter is moved 3 places forward in the alphabet. How is SUN written in that code?,,,Moving every letter of SUN forward by 3 gives VXQ.,,,WYR,,,UWP,,,XZS,,,VXQ,,,D,true
placeholder-v1,iq-coding,medium,In a certain code each letter is moved 1 place forward in the alphabet. How is BIRD written in that code?,,,Moving every letter of BIRD forward by 1 gives CJSE.,,,CJSE,,,DKTF,,,BIRD,,,ELUG,,,A,true
placeholder-v1,iq-coding,hard,In a certain code each letter is moved 2 places forward in the alphabet. How is LAMP written in that code?,,,Moving every letter of LAMP forward by 2 gives NCOR.,,,NCOR,,,ODPS,,,MBNQ,,,PEQT,,,A,true
placeholder-v1,iq-blood,easy,"Pointing at a man, a woman said, 'He is the only son of my grandfather's only son.' How is the man related to her?",,,"Her grandfather's only son is her father, so his only son is her brother.",,,Brother,,,Father,,,Uncle,,,Cousin,,,A,true
placeholder-v1,iq-blood,easy,"A is B's sister, B is C's mother. How is A related to C?",,,The sister of a mother is an aunt.,,,Sister,,,Aunt,,,Grandmother,,,Niece,,,B,true
placeholder-v1,iq-blood,medium,"P is the father of Q, and Q is the father of R. How is P related to R?",,,A father's father is a grandfather.,,,Father,,,Uncle,,,Grandfather,,,Brother,,,C,true
placeholder-v1,iq-blood,medium,X is the daughter of Y's mother's only child. How is X related to Y?,,,"Y's mother's only child is Y, so X is Y's daughter.",,,Sister,,,Niece,,,Cousin,,,Daughter,,,D,true
placeholder-v1,iq-blood,hard,M is the brother of N's father. How is M related to N?,,,The brother of a father is an uncle.,,,Uncle,,,Brother,,,Grandfather,,,Nephew,,,A,true
placeholder-v1,iq-calendar,easy,"If 1 January 2024 is a Monday, what day of the week is 1 February 2024?",,,"There are 31 days between the two dates, and 31 leaves a remainder of 3 when divided by 7, so the day moves forward by 3.",,,Friday,,,Sunday,,,Tuesday,,,Thursday,,,D,true
placeholder-v1,iq-calendar,easy,"If 5 March 2025 is a Wednesday, what day of the week is 5 April 2025?",,,"There are 31 days between the two dates, and 31 leaves a remainder of 3 when divided by 7, so the day moves forward by 3.",,,Sunday,,,Tuesday,,,Thursday,,,Saturday,,,D,true
placeholder-v1,iq-calendar,medium,"If 10 June 2025 is a Tuesday, what day of the week is 10 July 2025?",,,"There are 30 days between the two dates, and 30 leaves a remainder of 2 when divided by 7, so the day moves forward by 2.",,,Friday,,,Sunday,,,Thursday,,,Tuesday,,,C,true
placeholder-v1,iq-calendar,medium,"If 1 September 2024 is a Sunday, what day of the week is 1 October 2024?",,,"There are 30 days between the two dates, and 30 leaves a remainder of 2 when divided by 7, so the day moves forward by 2.",,,Wednesday,,,Friday,,,Tuesday,,,Sunday,,,C,true
placeholder-v1,iq-calendar,hard,"If 20 November 2025 is a Thursday, what day of the week is 20 December 2025?",,,"There are 30 days between the two dates, and 30 leaves a remainder of 2 when divided by 7, so the day moves forward by 2.",,,Sunday,,,Tuesday,,,Saturday,,,Thursday,,,C,true
placeholder-v1,iq-clocks,easy,"What is the smaller angle between the hands of a clock at 3:00, in degrees?",,,"The hour hand is at 30H + 0.5M degrees and the minute hand at 6M, so the gap is |30x3 - 5.5x0| = 90 degrees.",,,105,,,75,,,90,,,120,,,C,true
placeholder-v1,iq-clocks,easy,"What is the smaller angle between the hands of a clock at 4:30, in degrees?",,,"The hour hand is at 30H + 0.5M degrees and the minute hand at 6M, so the gap is |30x4 - 5.5x30| = 45 degrees.",,,60,,,45,,,30,,,75,,,B,true
placeholder-v1,iq-clocks,medium,"What is the smaller angle between the hands of a clock at 9:20, in degrees?",,,"The hour hand is at 30H + 0.5M degrees and the minute hand at 6M, so the gap is |30x9 - 5.5x20| = 160 degrees.",,,160,,,175,,,145,,,190,,,A,true
placeholder-v1,iq-clocks,medium,"What is the smaller angle between the hands of a clock at 5:20, in degrees?",,,"The hour hand is at 30H + 0.5M degrees and the minute hand at 6M, so the gap is |30x5 - 5.5x20| = 40 degrees.",,,40,,,55,,,25,,,70,,,A,true
placeholder-v1,iq-clocks,hard,"What is the smaller angle between the hands of a clock at 2:40, in degrees?",,,"The hour hand is at 30H + 0.5M degrees and the minute hand at 6M, so the gap is |30x2 - 5.5x40| = 160 degrees.",,,160,,,175,,,145,,,190,,,A,true
placeholder-v1,iq-triangles,easy,"A large triangle has 2 lines drawn from one vertex to the opposite side, cutting that side into 3 parts. How many triangles are there in the figure altogether?",,,"Each triangle is fixed by choosing 2 of the 4 points along the divided side, which gives 3 x 4 / 2 = 6.",,,9,,,3,,,6,,,12,,,C,true
placeholder-v1,iq-triangles,easy,"A large triangle has 3 lines drawn from one vertex to the opposite side, cutting that side into 4 parts. How many triangles are there in the figure altogether?",,,"Each triangle is fixed by choosing 2 of the 5 points along the divided side, which gives 4 x 5 / 2 = 10.",,,13,,,7,,,10,,,16,,,C,true
placeholder-v1,iq-triangles,medium,"A large triangle has 4 lines drawn from one vertex to the opposite side, cutting that side into 5 parts. How many triangles are there in the figure altogether?",,,"Each triangle is fixed by choosing 2 of the 6 points along the divided side, which gives 5 x 6 / 2 = 15.",,,18,,,12,,,21,,,15,,,D,true
placeholder-v1,iq-triangles,medium,"A large triangle has 5 lines drawn from one vertex to the opposite side, cutting that side into 6 parts. How many triangles are there in the figure altogether?",,,"Each triangle is fixed by choosing 2 of the 7 points along the divided side, which gives 6 x 7 / 2 = 21.",,,24,,,21,,,18,,,27,,,B,true
placeholder-v1,iq-triangles,hard,"A large triangle has 6 lines drawn from one vertex to the opposite side, cutting that side into 7 parts. How many triangles are there in the figure altogether?",,,"Each triangle is fixed by choosing 2 of the 8 points along the divided side, which gives 7 x 8 / 2 = 28.",,,28,,,31,,,25,,,34,,,A,true
placeholder-v1,iq-squares,easy,How many squares of every size are there on a 2x2 grid of unit squares?,,,The count is the sum of the first 2 squares: 2 x 3 x 5 / 6 = 5.,,,9,,,5,,,1,,,13,,,B,true
placeholder-v1,iq-squares,easy,How many squares of every size are there on a 3x3 grid of unit squares?,,,The count is the sum of the first 3 squares: 3 x 4 x 7 / 6 = 14.,,,18,,,10,,,14,,,22,,,C,true
placeholder-v1,iq-squares,medium,How many squares of every size are there on a 4x4 grid of unit squares?,,,The count is the sum of the first 4 squares: 4 x 5 x 9 / 6 = 30.,,,34,,,26,,,30,,,38,,,C,true
placeholder-v1,iq-squares,medium,How many squares of every size are there on a 5x5 grid of unit squares?,,,The count is the sum of the first 5 squares: 5 x 6 x 11 / 6 = 55.,,,59,,,51,,,63,,,55,,,D,true
placeholder-v1,iq-squares,hard,How many squares of every size are there on a 6x6 grid of unit squares?,,,The count is the sum of the first 6 squares: 6 x 7 x 13 / 6 = 91.,,,95,,,87,,,99,,,91,,,D,true
placeholder-v1,iq-dice,easy,A fair six-sided die is rolled once. What is the probability of rolling a number greater than 4?,,,"Two of the six faces (5 and 6) qualify, so the probability is 2/6 = 1/3.",,,1/6,,,1/3,,,1/2,,,2/3,,,B,true
placeholder-v1,iq-dice,easy,A fair die is rolled once. What is the probability of rolling an even number?,,,"Three of the six faces are even, so the probability is 1/2.",,,1/3,,,1/2,,,2/3,,,5/6,,,B,true
placeholder-v1,iq-dice,medium,Two fair dice are rolled. How many outcomes give a total of 7?,,,"The pairs are 1+6, 2+5, 3+4 and their reverses, so six outcomes.",,,4,,,5,,,6,,,8,,,C,true
placeholder-v1,iq-dice,medium,"On a standard die, opposite faces sum to 7. What is on the face opposite 2?",,,"Because opposite faces sum to 7, the face opposite 2 is 5.",,,3,,,4,,,5,,,6,,,C,true
placeholder-v1,iq-dice,hard,Two fair dice are rolled. What is the probability that both show the same number?,,,"Six of the thirty-six equally likely outcomes are doubles, so the probability is 1/6.",,,1/12,,,1/6,,,1/3,,,1/2,,,B,true
placeholder-v1,iq-probability,easy,A bag holds 3 red balls and 5 blue balls. One ball is drawn at random. What is the probability that it is red?,,,"There are 8 balls in all and 3 are red, so the probability is 3/8.",,,3/8,,,5/8,,,3/5,,,5/3,,,A,true
placeholder-v1,iq-probability,easy,A bag holds 4 red balls and 6 blue balls. One ball is drawn at random. What is the probability that it is red?,,,"There are 10 balls in all and 4 are red, so the probability is 2/5.",,,3/5,,,4/6,,,2/5,,,6/4,,,C,true
placeholder-v1,iq-probability,medium,A bag holds 5 red balls and 15 blue balls. One ball is drawn at random. What is the probability that it is red?,,,"There are 20 balls in all and 5 are red, so the probability is 1/4.",,,1/4,,,3/4,,,5/15,,,15/5,,,A,true
placeholder-v1,iq-probability,medium,A bag holds 2 red balls and 3 blue balls. One ball is drawn at random. What is the probability that it is red?,,,"There are 5 balls in all and 2 are red, so the probability is 2/5.",,,3/5,,,2/5,,,2/3,,,3/2,,,B,true
placeholder-v1,iq-probability,hard,A bag holds 7 red balls and 3 blue balls. One ball is drawn at random. What is the probability that it is red?,,,"There are 10 balls in all and 7 are red, so the probability is 7/10.",,,3/10,,,7/3,,,7/10,,,3/7,,,C,true
placeholder-v1,iq-sets,easy,"In a class of 40 students, 22 play cricket, 18 play football and 8 play both. How many play neither?",,,"22 + 18 - 8 = 32 play at least one game, so 40 - 32 = 8 play neither.",,,8,,,10,,,6,,,12,,,A,true
placeholder-v1,iq-sets,easy,"In a class of 50 students, 30 play cricket, 25 play football and 12 play both. How many play neither?",,,"30 + 25 - 12 = 43 play at least one game, so 50 - 43 = 7 play neither.",,,9,,,5,,,11,,,7,,,D,true
placeholder-v1,iq-sets,medium,"In a class of 60 students, 35 play cricket, 30 play football and 15 play both. How many play neither?",,,"35 + 30 - 15 = 50 play at least one game, so 60 - 50 = 10 play neither.",,,12,,,8,,,10,,,14,,,C,true
placeholder-v1,iq-sets,medium,"In a class of 30 students, 18 play cricket, 14 play football and 6 play both. How many play neither?",,,"18 + 14 - 6 = 26 play at least one game, so 30 - 26 = 4 play neither.",,,4,,,6,,,2,,,8,,,A,true
placeholder-v1,iq-sets,hard,"In a class of 45 students, 28 play cricket, 20 play football and 10 play both. How many play neither?",,,"28 + 20 - 10 = 38 play at least one game, so 45 - 38 = 7 play neither.",,,9,,,5,,,11,,,7,,,D,true
