batch,sub_topic_key,difficulty,stem_en,stem_si,stem_ta,explanation_en,explanation_si,explanation_ta,option_a_en,option_a_si,option_a_ta,option_b_en,option_b_si,option_b_ta,option_c_en,option_c_si,option_c_ta,option_d_en,option_d_si,option_d_ta,correct_option,shuffle_options
fake-v1,gk_geography,easy,What is the administrative capital of Sri Lanka?,[SI] What is the administrative capital of Sri Lanka?,[TA] What is the administrative capital of Sri Lanka?,Sri Jayawardenepura Kotte holds the parliament and is the administrative capital.,[SI] Sri Jayawardenepura Kotte holds the parliament and is the administrative capital.,[TA] Sri Jayawardenepura Kotte holds the parliament and is the administrative capital.,Colombo,[SI] Colombo,[TA] Colombo,Kandy,[SI] Kandy,[TA] Kandy,Sri Jayawardenepura Kotte,[SI] Sri Jayawardenepura Kotte,[TA] Sri Jayawardenepura Kotte,Galle,[SI] Galle,[TA] Galle,C,true
fake-v1,gk_geography,easy,Which is the longest river in Sri Lanka?,[SI] Which is the longest river in Sri Lanka?,[TA] Which is the longest river in Sri Lanka?,"The Mahaweli runs about 335 km, the longest in the country.","[SI] The Mahaweli runs about 335 km, the longest in the country.","[TA] The Mahaweli runs about 335 km, the longest in the country.",Kelani,[SI] Kelani,[TA] Kelani,Mahaweli,[SI] Mahaweli,[TA] Mahaweli,Kalu,[SI] Kalu,[TA] Kalu,Walawe,[SI] Walawe,[TA] Walawe,B,true
fake-v1,gk_geography,medium,Which is the highest mountain in Sri Lanka?,[SI] Which is the highest mountain in Sri Lanka?,[TA] Which is the highest mountain in Sri Lanka?,"Pidurutalagala rises to 2,524 m.","[SI] Pidurutalagala rises to 2,524 m.","[TA] Pidurutalagala rises to 2,524 m.",Adam's Peak,[SI] Adam's Peak,[TA] Adam's Peak,Kirigalpoththa,[SI] Kirigalpoththa,[TA] Kirigalpoththa,Pidurutalagala,[SI] Pidurutalagala,[TA] Pidurutalagala,Namunukula,[SI] Namunukula,[TA] Namunukula,C,true
fake-v1,gk_geography,easy,How many provinces does Sri Lanka have?,[SI] How many provinces does Sri Lanka have?,[TA] How many provinces does Sri Lanka have?,The country is divided into nine provinces.,[SI] The country is divided into nine provinces.,[TA] The country is divided into nine provinces.,Seven,[SI] Seven,[TA] Seven,Eight,[SI] Eight,[TA] Eight,Nine,[SI] Nine,[TA] Nine,Twelve,[SI] Twelve,[TA] Twelve,C,true
fake-v1,gk_geography,easy,The Palk Strait separates Sri Lanka from which country?,[SI] The Palk Strait separates Sri Lanka from which country?,[TA] The Palk Strait separates Sri Lanka from which country?,The Palk Strait lies between Sri Lanka and India.,[SI] The Palk Strait lies between Sri Lanka and India.,[TA] The Palk Strait lies between Sri Lanka and India.,Maldives,[SI] Maldives,[TA] Maldives,India,[SI] India,[TA] India,Indonesia,[SI] Indonesia,[TA] Indonesia,Bangladesh,[SI] Bangladesh,[TA] Bangladesh,B,true
fake-v1,gk_economy,easy,Which crop is Sri Lanka's best known export?,[SI] Which crop is Sri Lanka's best known export?,[TA] Which crop is Sri Lanka's best known export?,Ceylon tea remains the country's most recognised export.,[SI] Ceylon tea remains the country's most recognised export.,[TA] Ceylon tea remains the country's most recognised export.,Rubber,[SI] Rubber,[TA] Rubber,Tea,[SI] Tea,[TA] Tea,Coconut,[SI] Coconut,[TA] Coconut,Cinnamon,[SI] Cinnamon,[TA] Cinnamon,B,true
fake-v1,gk_economy,easy,What is the currency of Sri Lanka?,[SI] What is the currency of Sri Lanka?,[TA] What is the currency of Sri Lanka?,The Sri Lankan rupee is the national currency.,[SI] The Sri Lankan rupee is the national currency.,[TA] The Sri Lankan rupee is the national currency.,Rupee,[SI] Rupee,[TA] Rupee,Taka,[SI] Taka,[TA] Taka,Ringgit,[SI] Ringgit,[TA] Ringgit,Rupiah,[SI] Rupiah,[TA] Rupiah,A,true
fake-v1,gk_economy,medium,Which institution issues currency in Sri Lanka?,[SI] Which institution issues currency in Sri Lanka?,[TA] Which institution issues currency in Sri Lanka?,The Central Bank of Sri Lanka is the sole issuing authority.,[SI] The Central Bank of Sri Lanka is the sole issuing authority.,[TA] The Central Bank of Sri Lanka is the sole issuing authority.,Treasury,[SI] Treasury,[TA] Treasury,Bank of Ceylon,[SI] Bank of Ceylon,[TA] Bank of Ceylon,Central Bank of Sri Lanka,[SI] Central Bank of Sri Lanka,[TA] Central Bank of Sri Lanka,Ministry of Finance,[SI] Ministry of Finance,[TA] Ministry of Finance,C,true
fake-v1,gk_economy,medium,Which port handles the largest share of the country's container traffic?,[SI] Which port handles the largest share of the country's container traffic?,[TA] Which port handles the largest share of the country's container traffic?,The Port of Colombo handles most container throughput.,[SI] The Port of Colombo handles most container throughput.,[TA] The Port of Colombo handles most container throughput.,Galle,[SI] Galle,[TA] Galle,Trincomalee,[SI] Trincomalee,[TA] Trincomalee,Hambantota,[SI] Hambantota,[TA] Hambantota,Colombo,[SI] Colombo,[TA] Colombo,D,true
fake-v1,gk_economy,hard,Sri Lanka's largest source of foreign exchange from services is:,[SI] Sri Lanka's largest source of foreign exchange from services is:,[TA] Sri Lanka's largest source of foreign exchange from services is:,Tourism is the leading services earner alongside remittances.,[SI] Tourism is the leading services earner alongside remittances.,[TA] Tourism is the leading services earner alongside remittances.,Fisheries,[SI] Fisheries,[TA] Fisheries,Tourism,[SI] Tourism,[TA] Tourism,Gem mining,[SI] Gem mining,[TA] Gem mining,Forestry,[SI] Forestry,[TA] Forestry,B,true
fake-v1,gk_science_technology,easy,What is the chemical symbol for water?,[SI] What is the chemical symbol for water?,[TA] What is the chemical symbol for water?,Water is two hydrogen atoms bonded to one oxygen atom.,[SI] Water is two hydrogen atoms bonded to one oxygen atom.,[TA] Water is two hydrogen atoms bonded to one oxygen atom.,WO,[SI] WO,[TA] WO,H2O,[SI] H2O,[TA] H2O,HO2,[SI] HO2,[TA] HO2,OH,[SI] OH,[TA] OH,B,true
fake-v1,gk_science_technology,easy,Which planet is closest to the Sun?,[SI] Which planet is closest to the Sun?,[TA] Which planet is closest to the Sun?,Mercury orbits nearest the Sun.,[SI] Mercury orbits nearest the Sun.,[TA] Mercury orbits nearest the Sun.,Venus,[SI] Venus,[TA] Venus,Earth,[SI] Earth,[TA] Earth,Mercury,[SI] Mercury,[TA] Mercury,Mars,[SI] Mars,[TA] Mars,C,true
fake-v1,gk_science_technology,easy,Which gas do plants absorb during photosynthesis?,[SI] Which gas do plants absorb during photosynthesis?,[TA] Which gas do plants absorb during photosynthesis?,Plants take in carbon dioxide and release oxygen.,[SI] Plants take in carbon dioxide and release oxygen.,[TA] Plants take in carbon dioxide and release oxygen.,Oxygen,[SI] Oxygen,[TA] Oxygen,Nitrogen,[SI] Nitrogen,[TA] Nitrogen,Hydrogen,[SI] Hydrogen,[TA] Hydrogen,Carbon dioxide,[SI] Carbon dioxide,[TA] Carbon dioxide,D,true
fake-v1,gk_science_technology,medium,What does CPU stand for?,[SI] What does CPU stand for?,[TA] What does CPU stand for?,The CPU is the central processing unit of a computer.,[SI] The CPU is the central processing unit of a computer.,[TA] The CPU is the central processing unit of a computer.,Central Processing Unit,[SI] Central Processing Unit,[TA] Central Processing Unit,Computer Power Unit,[SI] Computer Power Unit,[TA] Computer Power Unit,Central Program Utility,[SI] Central Program Utility,[TA] Central Program Utility,Control Processing Unit,[SI] Control Processing Unit,[TA] Control Processing Unit,A,true
fake-v1,gk_science_technology,medium,Which blood group is the universal donor?,[SI] Which blood group is the universal donor?,[TA] Which blood group is the universal donor?,O negative red cells can be given to any blood group.,[SI] O negative red cells can be given to any blood group.,[TA] O negative red cells can be given to any blood group.,AB positive,[SI] AB positive,[TA] AB positive,O negative,[SI] O negative,[TA] O negative,A positive,[SI] A positive,[TA] A positive,B negative,[SI] B negative,[TA] B negative,B,true
fake-v1,gk_sports,easy,In which year did Sri Lanka win the Cricket World Cup?,[SI] In which year did Sri Lanka win the Cricket World Cup?,[TA] In which year did Sri Lanka win the Cricket World Cup?,"Sri Lanka won the 1996 World Cup, beating Australia in the final.","[SI] Sri Lanka won the 1996 World Cup, beating Australia in the final.","[TA] Sri Lanka won the 1996 World Cup, beating Australia in the final.",1992,[SI] 1992,[TA] 1992,1996,[SI] 1996,[TA] 1996,1999,[SI] 1999,[TA] 1999,2003,[SI] 2003,[TA] 2003,B,true
fake-v1,gk_sports,easy,How many players are on the field per cricket team?,[SI] How many players are on the field per cricket team?,[TA] How many players are on the field per cricket team?,Each side fields eleven players.,[SI] Each side fields eleven players.,[TA] Each side fields eleven players.,Nine,[SI] Nine,[TA] Nine,Ten,[SI] Ten,[TA] Ten,Eleven,[SI] Eleven,[TA] Eleven,Twelve,[SI] Twelve,[TA] Twelve,C,true
fake-v1,gk_sports,medium,Which sport is Susanthika Jayasinghe associated with?,[SI] Which sport is Susanthika Jayasinghe associated with?,[TA] Which sport is Susanthika Jayasinghe associated with?,She won an Olympic medal in the 200 metres.,[SI] She won an Olympic medal in the 200 metres.,[TA] She won an Olympic medal in the 200 metres.,Swimming,[SI] Swimming,[TA] Swimming,Athletics,[SI] Athletics,[TA] Athletics,Boxing,[SI] Boxing,[TA] Boxing,Badminton,[SI] Badminton,[TA] Badminton,B,true
fake-v1,gk_sports,medium,Volleyball is the national sport of which country?,[SI] Volleyball is the national sport of which country?,[TA] Volleyball is the national sport of which country?,Volleyball has been Sri Lanka's national sport since 1991.,[SI] Volleyball has been Sri Lanka's national sport since 1991.,[TA] Volleyball has been Sri Lanka's national sport since 1991.,India,[SI] India,[TA] India,Nepal,[SI] Nepal,[TA] Nepal,Sri Lanka,[SI] Sri Lanka,[TA] Sri Lanka,Maldives,[SI] Maldives,[TA] Maldives,C,true
fake-v1,gk_sports,easy,How often are the Summer Olympic Games held?,[SI] How often are the Summer Olympic Games held?,[TA] How often are the Summer Olympic Games held?,The Summer Olympics are held every four years.,[SI] The Summer Olympics are held every four years.,[TA] The Summer Olympics are held every four years.,Every two years,[SI] Every two years,[TA] Every two years,Every three years,[SI] Every three years,[TA] Every three years,Every four years,[SI] Every four years,[TA] Every four years,Every five years,[SI] Every five years,[TA] Every five years,C,true
fake-v1,gk_literature,hard,Who wrote the epic poem 'Selalihini Sandeshaya'?,[SI] Who wrote the epic poem 'Selalihini Sandeshaya'?,[TA] Who wrote the epic poem 'Selalihini Sandeshaya'?,It was composed by Totagamuwe Sri Rahula Thera in the Kotte period.,[SI] It was composed by Totagamuwe Sri Rahula Thera in the Kotte period.,[TA] It was composed by Totagamuwe Sri Rahula Thera in the Kotte period.,Totagamuwe Sri Rahula,[SI] Totagamuwe Sri Rahula,[TA] Totagamuwe Sri Rahula,Martin Wickramasinghe,[SI] Martin Wickramasinghe,[TA] Martin Wickramasinghe,Kumaratunga Munidasa,[SI] Kumaratunga Munidasa,[TA] Kumaratunga Munidasa,Gunadasa Amarasekara,[SI] Gunadasa Amarasekara,[TA] Gunadasa Amarasekara,A,true
fake-v1,gk_literature,medium,'Madol Doova' was written by which author?,[SI] 'Madol Doova' was written by which author?,[TA] 'Madol Doova' was written by which author?,Martin Wickramasinghe published Madol Doova in 1947.,[SI] Martin Wickramasinghe published Madol Doova in 1947.,[TA] Martin Wickramasinghe published Madol Doova in 1947.,Martin Wickramasinghe,[SI] Martin Wickramasinghe,[TA] Martin Wickramasinghe,W. A. Silva,[SI] W. A. Silva,[TA] W. A. Silva,Ediriweera Sarachchandra,[SI] Ediriweera Sarachchandra,[TA] Ediriweera Sarachchandra,Simon Navagattegama,[SI] Simon Navagattegama,[TA] Simon Navagattegama,A,true
fake-v1,gk_literature,medium,Which award is the highest literary honour in Sri Lanka?,[SI] Which award is the highest literary honour in Sri Lanka?,[TA] Which award is the highest literary honour in Sri Lanka?,The State Literary Award is the national honour.,[SI] The State Literary Award is the national honour.,[TA] The State Literary Award is the national honour.,Gratiaen Prize,[SI] Gratiaen Prize,[TA] Gratiaen Prize,State Literary Award,[SI] State Literary Award,[TA] State Literary Award,Swarna Pustaka,[SI] Swarna Pustaka,[TA] Swarna Pustaka,Booker Prize,[SI] Booker Prize,[TA] Booker Prize,B,true
fake-v1,gk_literature,medium,Who wrote the play 'Maname'?,[SI] Who wrote the play 'Maname'?,[TA] Who wrote the play 'Maname'?,Sarachchandra's Maname premiered in 1956.,[SI] Sarachchandra's Maname premiered in 1956.,[TA] Sarachchandra's Maname premiered in 1956.,Ediriweera Sarachchandra,[SI] Ediriweera Sarachchandra,[TA] Ediriweera Sarachchandra,Martin Wickramasinghe,[SI] Martin Wickramasinghe,[TA] Martin Wickramasinghe,Henry Jayasena,[SI] Henry Jayasena,[TA] Henry Jayasena,Dayananda Gunawardena,[SI] Dayananda Gunawardena,[TA] Dayananda Gunawardena,A,true
fake-v1,gk_literature,hard,The Gratiaen Prize is awarded for writing in which language?,[SI] The Gratiaen Prize is awarded for writing in which language?,[TA] The Gratiaen Prize is awarded for writing in which language?,It recognises Sri Lankan creative writing in English.,[SI] It recognises Sri Lankan creative writing in English.,[TA] It recognises Sri Lankan creative writing in English.,Sinhala,[SI] Sinhala,[TA] Sinhala,Tamil,[SI] Tamil,[TA] Tamil,English,[SI] English,[TA] English,Pali,[SI] Pali,[TA] Pali,C,true
fake-v1,gk_world_affairs,easy,Where are the headquarters of the United Nations?,[SI] Where are the headquarters of the United Nations?,[TA] Where are the headquarters of the United Nations?,The UN headquarters is in New York City.,[SI] The UN headquarters is in New York City.,[TA] The UN headquarters is in New York City.,Geneva,[SI] Geneva,[TA] Geneva,New York,[SI] New York,[TA] New York,Paris,[SI] Paris,[TA] Paris,Vienna,[SI] Vienna,[TA] Vienna,B,true
fake-v1,gk_world_affairs,medium,How many permanent members does the UN Security Council have?,[SI] How many permanent members does the UN Security Council have?,[TA] How many permanent members does the UN Security Council have?,There are five permanent members with veto power.,[SI] There are five permanent members with veto power.,[TA] There are five permanent members with veto power.,Four,[SI] Four,[TA] Four,Five,[SI] Five,[TA] Five,Six,[SI] Six,[TA] Six,Ten,[SI] Ten,[TA] Ten,B,true
fake-v1,gk_world_affairs,medium,SAARC was founded in which year?,[SI] SAARC was founded in which year?,[TA] SAARC was founded in which year?,SAARC was established in Dhaka in 1985.,[SI] SAARC was established in Dhaka in 1985.,[TA] SAARC was established in Dhaka in 1985.,1985,[SI] 1985,[TA] 1985,1990,[SI] 1990,[TA] 1990,1995,[SI] 1995,[TA] 1995,2000,[SI] 2000,[TA] 2000,A,true
fake-v1,gk_world_affairs,hard,Which organisation issues the Human Development Index?,[SI] Which organisation issues the Human Development Index?,[TA] Which organisation issues the Human Development Index?,The UNDP publishes the HDI each year.,[SI] The UNDP publishes the HDI each year.,[TA] The UNDP publishes the HDI each year.,WHO,[SI] WHO,[TA] WHO,UNDP,[SI] UNDP,[TA] UNDP,IMF,[SI] IMF,[TA] IMF,UNESCO,[SI] UNESCO,[TA] UNESCO,B,true
fake-v1,gk_world_affairs,medium,Which country hosts the International Court of Justice?,[SI] Which country hosts the International Court of Justice?,[TA] Which country hosts the International Court of Justice?,The ICJ sits at The Hague in the Netherlands.,[SI] The ICJ sits at The Hague in the Netherlands.,[TA] The ICJ sits at The Hague in the Netherlands.,Belgium,[SI] Belgium,[TA] Belgium,Switzerland,[SI] Switzerland,[TA] Switzerland,Netherlands,[SI] Netherlands,[TA] Netherlands,Austria,[SI] Austria,[TA] Austria,C,true
fake-v1,iq_numerical,easy,"What comes next: 2, 4, 8, 16, ?","[SI] What comes next: 2, 4, 8, 16, ?","[TA] What comes next: 2, 4, 8, 16, ?","Each term doubles, so the next is 32.","[SI] Each term doubles, so the next is 32.","[TA] Each term doubles, so the next is 32.",24,[SI] 24,[TA] 24,30,[SI] 30,[TA] 30,32,[SI] 32,[TA] 32,64,[SI] 64,[TA] 64,C,true
fake-v1,iq_numerical,easy,"If 5 pens cost Rs. 150, what do 8 pens cost?","[SI] If 5 pens cost Rs. 150, what do 8 pens cost?","[TA] If 5 pens cost Rs. 150, what do 8 pens cost?","One pen costs Rs. 30, so eight cost Rs. 240.","[SI] One pen costs Rs. 30, so eight cost Rs. 240.","[TA] One pen costs Rs. 30, so eight cost Rs. 240.",Rs. 200,[SI] Rs. 200,[TA] Rs. 200,Rs. 240,[SI] Rs. 240,[TA] Rs. 240,Rs. 250,[SI] Rs. 250,[TA] Rs. 250,Rs. 300,[SI] Rs. 300,[TA] Rs. 300,B,true
fake-v1,iq_numerical,medium,What is 15% of 320?,[SI] What is 15% of 320?,[TA] What is 15% of 320?,15% of 320 is 48.,[SI] 15% of 320 is 48.,[TA] 15% of 320 is 48.,36,[SI] 36,[TA] 36,42,[SI] 42,[TA] 42,48,[SI] 48,[TA] 48,52,[SI] 52,[TA] 52,C,true
fake-v1,iq_numerical,medium,A number increased by 20% becomes 96. What was it?,[SI] A number increased by 20% becomes 96. What was it?,[TA] A number increased by 20% becomes 96. What was it?,80 increased by 20% gives 96.,[SI] 80 increased by 20% gives 96.,[TA] 80 increased by 20% gives 96.,76,[SI] 76,[TA] 76,80,[SI] 80,[TA] 80,84,[SI] 84,[TA] 84,88,[SI] 88,[TA] 88,B,true
fake-v1,iq_numerical,medium,"What comes next: 1, 1, 2, 3, 5, 8, ?","[SI] What comes next: 1, 1, 2, 3, 5, 8, ?","[TA] What comes next: 1, 1, 2, 3, 5, 8, ?","Each term is the sum of the previous two, so 13.","[SI] Each term is the sum of the previous two, so 13.","[TA] Each term is the sum of the previous two, so 13.",11,[SI] 11,[TA] 11,12,[SI] 12,[TA] 12,13,[SI] 13,[TA] 13,15,[SI] 15,[TA] 15,C,true
fake-v1,iq_logical,hard,All roses are flowers. Some flowers fade quickly. Therefore:,[SI] All roses are flowers. Some flowers fade quickly. Therefore:,[TA] All roses are flowers. Some flowers fade quickly. Therefore:,The premises do not establish any link between roses and fading.,[SI] The premises do not establish any link between roses and fading.,[TA] The premises do not establish any link between roses and fading.,All roses fade quickly,[SI] All roses fade quickly,[TA] All roses fade quickly,Some roses fade quickly,[SI] Some roses fade quickly,[TA] Some roses fade quickly,No roses fade quickly,[SI] No roses fade quickly,[TA] No roses fade quickly,Nothing certain follows,[SI] Nothing certain follows,[TA] Nothing certain follows,D,true
fake-v1,iq_logical,medium,"If MONDAY is coded as NPOEBZ, how is SUN coded?","[SI] If MONDAY is coded as NPOEBZ, how is SUN coded?","[TA] If MONDAY is coded as NPOEBZ, how is SUN coded?","Each letter moves one place forward, giving TVO.","[SI] Each letter moves one place forward, giving TVO.","[TA] Each letter moves one place forward, giving TVO.",TVO,[SI] TVO,[TA] TVO,TVP,[SI] TVP,[TA] TVP,RTM,[SI] RTM,[TA] RTM,SVO,[SI] SVO,[TA] SVO,A,true
fake-v1,iq_logical,easy,Ravi is taller than Sam. Sam is taller than Amal. Who is shortest?,[SI] Ravi is taller than Sam. Sam is taller than Amal. Who is shortest?,[TA] Ravi is taller than Sam. Sam is taller than Amal. Who is shortest?,"Amal is below Sam, who is below Ravi.","[SI] Amal is below Sam, who is below Ravi.","[TA] Amal is below Sam, who is below Ravi.",Ravi,[SI] Ravi,[TA] Ravi,Sam,[SI] Sam,[TA] Sam,Amal,[SI] Amal,[TA] Amal,Cannot tell,[SI] Cannot tell,[TA] Cannot tell,C,true
fake-v1,iq_logical,easy,"Which does not belong: dog, cat, lion, table?","[SI] Which does not belong: dog, cat, lion, table?","[TA] Which does not belong: dog, cat, lion, table?",Table is not an animal.,[SI] Table is not an animal.,[TA] Table is not an animal.,Dog,[SI] Dog,[TA] Dog,Cat,[SI] Cat,[TA] Cat,Lion,[SI] Lion,[TA] Lion,Table,[SI] Table,[TA] Table,D,true
fake-v1,iq_logical,medium,A is B's brother. B is C's mother. What is A to C?,[SI] A is B's brother. B is C's mother. What is A to C?,[TA] A is B's brother. B is C's mother. What is A to C?,The mother's brother is the uncle.,[SI] The mother's brother is the uncle.,[TA] The mother's brother is the uncle.,Father,[SI] Father,[TA] Father,Uncle,[SI] Uncle,[TA] Uncle,Brother,[SI] Brother,[TA] Brother,Grandfather,[SI] Grandfather,[TA] Grandfather,B,true
fake-v1,iq_spatial,easy,How many faces does a cube have?,[SI] How many faces does a cube have?,[TA] How many faces does a cube have?,A cube has six square faces.,[SI] A cube has six square faces.,[TA] A cube has six square faces.,Four,[SI] Four,[TA] Four,Six,[SI] Six,[TA] Six,Eight,[SI] Eight,[TA] Eight,Twelve,[SI] Twelve,[TA] Twelve,B,true
fake-v1,iq_spatial,medium,How many edges does a cube have?,[SI] How many edges does a cube have?,[TA] How many edges does a cube have?,A cube has twelve edges.,[SI] A cube has twelve edges.,[TA] A cube has twelve edges.,Eight,[SI] Eight,[TA] Eight,Ten,[SI] Ten,[TA] Ten,Twelve,[SI] Twelve,[TA] Twelve,Sixteen,[SI] Sixteen,[TA] Sixteen,C,true
fake-v1,iq_spatial,easy,A shape with three sides is called a:,[SI] A shape with three sides is called a:,[TA] A shape with three sides is called a:,A three-sided polygon is a triangle.,[SI] A three-sided polygon is a triangle.,[TA] A three-sided polygon is a triangle.,Triangle,[SI] Triangle,[TA] Triangle,Square,[SI] Square,[TA] Square,Pentagon,[SI] Pentagon,[TA] Pentagon,Hexagon,[SI] Hexagon,[TA] Hexagon,A,true
fake-v1,iq_spatial,medium,Rotating a square by 90 degrees produces a shape that is:,[SI] Rotating a square by 90 degrees produces a shape that is:,[TA] Rotating a square by 90 degrees produces a shape that is:,A square has rotational symmetry every 90 degrees.,[SI] A square has rotational symmetry every 90 degrees.,[TA] A square has rotational symmetry every 90 degrees.,Larger,[SI] Larger,[TA] Larger,Smaller,[SI] Smaller,[TA] Smaller,Identical,[SI] Identical,[TA] Identical,Mirrored,[SI] Mirrored,[TA] Mirrored,C,true
fake-v1,iq_spatial,easy,How many sides does a hexagon have?,[SI] How many sides does a hexagon have?,[TA] How many sides does a hexagon have?,A hexagon has six sides.,[SI] A hexagon has six sides.,[TA] A hexagon has six sides.,Five,[SI] Five,[TA] Five,Six,[SI] Six,[TA] Six,Seven,[SI] Seven,[TA] Seven,Eight,[SI] Eight,[TA] Eight,B,true
fake-v1,iq_data,easy,"A chart shows sales of 20, 30, 40 and 50 units over four months. What is the total?","[SI] A chart shows sales of 20, 30, 40 and 50 units over four months. What is the total?","[TA] A chart shows sales of 20, 30, 40 and 50 units over four months. What is the total?",The four values add up to 140.,[SI] The four values add up to 140.,[TA] The four values add up to 140.,120,[SI] 120,[TA] 120,130,[SI] 130,[TA] 130,140,[SI] 140,[TA] 140,150,[SI] 150,[TA] 150,C,true
